,Phrase,Counts
0,"('million', 'frank')",7024
1,"('artikel', 'absatz')",4563
2,"('milliard', 'frank')",3204
3,"('parlamentar', 'initiativ')",2655
4,"('antrag', 'mind')",2452
5,"('mehrheit', 'kommission')",2217
6,"('stimm', 'enthalt')",2153
7,"('letzt', 'jahr')",1882
8,"('geht', 'darum')",1661
9,"('z', 'b')",1261
10,"('frau', 'bundesratin')",1203
11,"('herr', 'bundesrat')",1163
12,"('herr', 'kolleg')",1127
13,"('bund', 'kanton')",1122
14,"('zehn', 'jahr')",1063
15,"('folg', 'geb')",1051
16,"('pro', 'jahr')",997
17,"('mehrheit', 'folg')",942
18,"('ganz', 'klar')",931
19,"('entwurf', 'bundesrat')",911
20,"('mind', 'i')",887
21,"('nach', 'jahr')",869
22,"('absatz', 'buchstab')",838
23,"('geltend', 'recht')",835
24,"('kanton', 'gemeind')",817
25,"('frank', 'pro')",816
26,"('fdpliberal', 'fraktion')",808
27,"('vorlag', 'einzutret')",777
28,"('antrag', 'mehrheit')",764
29,"('darauf', 'hingewies')",739
30,"('rund', 'million')",732
31,"('zwei', 'jahr')",726
32,"('gesetz', 'grundlag')",714
33,"('uns', 'sicht')",714
34,"('vier', 'jahr')",703
35,"('mind', 'ii')",703
36,"('bereit', 'heut')",701
37,"('kommission', 'beantragt')",694
38,"('burgerinn', 'burg')",668
39,"('gemass', 'artikel')",660
40,"('initiativ', 'folg')",655
41,"('geh', 'davon')",654
42,"('imm', 'mehr')",652
43,"('kommission', 'stimm')",645
44,"('funf', 'jahr')",645
45,"('drei', 'jahr')",632
46,"('heut', 'schon')",631
47,"('offent', 'verkehr')",620
48,"('artikel', 'bundesverfass')",613
49,"('motion', 'abzulehn')",602
50,"('seit', 'jahr')",591
51,"('bitt', 'deshalb')",583
52,"('servic', 'public')",580
53,"('herr', 'nationalrat')",575
54,"('bundesrat', 'beantragt')",566
55,"('darum', 'geht')",560
56,"('herr', 'standerat')",557
57,"('kommission', 'rechtsfrag')",549
58,"('vorlauf', 'aufgenomm')",539
59,"('motion', 'anzunehm')",538
60,"('bitt', 'antrag')",533
61,"('bundesrat', 'folg')",515
62,"('stell', 'fest')",511
63,"('bitt', 'mind')",495
64,"('bitt', 'mehrheit')",493
65,"('rund', 'prozent')",489
66,"('annahm', 'motion')",485
67,"('losung', 'find')",480
